"citation","book","chapter","verse","text"
"Leviticus 16:10","Leviticus",16,10,"But the goat, on which the lot fell to be the scapegoat, shall be presented alive before the LORD, to make an atonement with him, and to let him go for a scapegoat into the wilderness. 
"
"2 Samuel 22:4","2 Samuel",22,4,"I will call on the LORD, who is worthy to be praised: so shall I be saved from mine enemies. 
"
"Mark 5:5","Mark",5,5,"And always, night and day, he was in the mountains, and in the tombs, crying, and cutting himself with stones. 
"
"Psalms 45:16","Psalms",45,16,"Instead of thy fathers shall be thy children, whom thou mayest make princes in all the earth. 
"
"John 6:43","John",6,43,"Jesus therefore answered and said unto them, Murmur not among yourselves. 
"
"Amos 7:16","Amos",7,16,"Now therefore hear thou the word of the LORD: Thou sayest, Prophesy not against Israel, and drop not thy word against the house of Isaac. 
"
"Judges 9:18","Judges",9,18,"And ye are risen up against my father's house this day, and have slain his sons, threescore and ten persons, upon one stone, and have made Abimelech, the son of his maidservant, king over the men of Shechem, because he is your brother;) 
"
"Jeremiah 52:1","Jeremiah",52,1,"Zedekiah was one and twenty years old when he began to reign, and he reigned eleven years in Jerusalem. And his mother's name was Hamutal the daughter of Jeremiah of Libnah. 
"
"John 12:36","John",12,36,"While ye have light, believe in the light, that ye may be the children of light. These things spake Jesus, and departed, and did hide himself from them. 
"
"Exodus 7:18","Exodus",7,18,"And the fish that is in the river shall die, and the river shall stink; and the Egyptians shall loathe to drink of the water of the river. 
"
"1 Chronicles 23:25","1 Chronicles",23,25,"For David said, The LORD God of Israel hath given rest unto his people, that they may dwell in Jerusalem for ever: 
"
"Psalms 39:5","Psalms",39,5,"Behold, thou hast made my days as an handbreadth; and mine age is as nothing before thee: verily every man at his best state is altogether vanity. Selah. 
"
"Exodus 10:21","Exodus",10,21,"And the LORD said unto Moses, Stretch out thine hand toward heaven, that there may be darkness over the land of Egypt, even darkness which may be felt. 
"
"Proverbs 31:16","Proverbs",31,16,"She considereth a field, and buyeth it: with the fruit of her hands she planteth a vineyard. 
"
"Genesis 38:18","Genesis",38,18,"And he said, What pledge shall I give thee? And she said, Thy signet, and thy bracelets, and thy staff that is in thine hand. And he gave it her, and came in unto her, and she conceived by him. 
"
"Colossians 2:2","Colossians",2,2,"That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ; 
"
